movie_name,distributor,release_date,release_year,total_audience,log_total_audience,detail_url,genre,runtime_minutes,is_domestic,language,rating
Düğün Dernek 2: Sünnet,CGV Mars,4 Aralık 2015,2015,6073364,15.619423210511496,https://boxofficeturkiye.com/film/dugun-dernek-2-sunnet--2012841,Komedi,112,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Hızlı ve Öfkeli 7,UIP,3 Nisan 2015,2015,2961089,14.90106766404505,https://boxofficeturkiye.com/film/hizli-ve-ofkeli-7--2011787,Aksiyon,137,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Kocan Kadar Konuş,UIP,20 Mart 2015,2015,1930677,14.473381276575202,https://boxofficeturkiye.com/film/kocan-kadar-konus--2012138,Romantik-Komedi,108,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Ali Baba ve 7 Cüceler,CGV Mars,13 Kasım 2015,2015,1828311,14.418903147816572,https://boxofficeturkiye.com/film/ali-baba-ve-7-cuceler--2012800,Komedi,114,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Selam: Bahara Yolculuk,CGV Mars,13 Mart 2015,2015,1683497,14.336383735579895,https://boxofficeturkiye.com/film/selam-bahara-yolculuk--2012531,Dram,120,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Bana Masal Anlatma,UIP,9 Ocak 2015,2015,1576979,14.271021549432922,https://boxofficeturkiye.com/film/bana-masal-anlatma--2012489,"Komedi, Romantik-Komedi",103,1,Turkish,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Aşk Sana Benzer,CGV Mars,23 Ocak 2015,2015,1406620,14.15670022143832,https://boxofficeturkiye.com/film/ask-sana-benzer--2012353,"Dram, Romantik",115,1,Turkish,Genel İzleyici Kitlesi.
Yenilmezler: Ultron Çağı,UIP,1 Mayıs 2015,2015,1284848,14.066150981377143,https://boxofficeturkiye.com/film/yenilmezler-ultron-cagi--2011599,"Macera, Aksiyon, 3 Boyutlu",141,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Yapışık Kardeşler,CGV Mars,30 Ocak 2015,2015,1014630,13.830034571980372,https://boxofficeturkiye.com/film/yapisik-kardesler--2012462,Komedi,105,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Niyazi Gül Dörtnala,UIP,8 Mayıs 2015,2015,994016,13.80950858208864,https://boxofficeturkiye.com/film/niyazi-gul-dortnala--2012491,Komedi,106,1,Turkish,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
