movie_name,distributor,distributor_film_count,distributor_domestic_ratio,is_domestic,genre,genre_count,is_sequel,holiday_week,holiday_type,release_season,release_year,release_month,release_week,competition_index,runtime_minutes,rating,total_audience,log_total_audience
Düğün Dernek 2: Sünnet,CGV Mars,225,0.729,1,Komedi,1,1,0,none,Winter,2015,12,49,4,112.0,2,6073364,15.619423210511496
Hızlı ve Öfkeli 7,UIP,271,0.137,0,Aksiyon,1,1,0,none,Spring,2015,4,14,5,137.0,2,2961089,14.90106766404505
Kocan Kadar Konuş,UIP,271,0.137,1,Romantik-Komedi,1,0,0,none,Spring,2015,3,12,11,108.0,2,1930677,14.473381276575202
Ali Baba ve 7 Cüceler,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Fall,2015,11,46,5,114.0,3,1828311,14.418903147816572
Selam: Bahara Yolculuk,CGV Mars,225,0.729,1,Dram,1,0,0,none,Spring,2015,3,11,11,120.0,3,1683497,14.336383735579895
Bana Masal Anlatma,UIP,271,0.137,1,"Komedi, Romantik-Komedi",2,0,0,none,Winter,2015,1,2,12,103.0,1,1576979,14.271021549432922
Aşk Sana Benzer,CGV Mars,225,0.729,1,"Dram, Romantik",2,0,0,none,Winter,2015,1,4,12,115.0,0,1406620,14.15670022143832
Yenilmezler: Ultron Çağı,UIP,271,0.137,0,"Macera, Aksiyon, 3 Boyutlu",3,0,1,1_mayis,Spring,2015,5,18,8,141.0,2,1284848,14.066150981377143
Yapışık Kardeşler,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Winter,2015,1,5,12,105.0,2,1014630,13.830034571980372
Niyazi Gül Dörtnala,UIP,271,0.137,1,Komedi,1,0,0,none,Spring,2015,5,19,8,106.0,1,994016,13.80950858208864
Minyonlar,UIP,271,0.137,0,"Animasyon, 3 Boyutlu",2,0,0,none,Fall,2015,9,36,9,91.0,1,964454,13.779317417085332
Sevimli Tehlikeli,WB,123,0.089,1,"Romantik-Komedi, Romantik",2,0,0,none,Winter,2015,2,6,9,113.0,2,911833,13.72321213825396
Kara Bela,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Fall,2015,9,38,9,105.0,2,892643,13.70194200389106
Grinin Elli Tonu,UIP,271,0.137,0,Romantik,1,0,0,none,Winter,2015,2,7,9,125.0,4,875585,13.68264751337401
Star Wars: Güç Uyanıyor,UIP,271,0.137,0,"Bilim-Kurgu, Fantastik, 3 Boyutlu",3,0,0,none,Winter,2015,12,51,4,136.0,2,1149329,13.95468885178888
Son Mektup,Pin.,19,0.632,1,"Tarihi, Savaş",2,0,0,none,Spring,2015,3,12,11,122.0,0,810138,13.60495988250761
Labirent: Alev Deneyleri,TME,181,0.343,0,"Bilim-Kurgu, Aksiyon, 3 Boyutlu",3,0,0,none,Fall,2015,9,38,9,131.0,3,752273,13.53085456896673
Açlık Oyunları: Alaycı Kuş Bölüm 2,TME,181,0.343,0,"Macera, Aksiyon",2,1,0,none,Fall,2015,11,47,5,137.0,2,745338,13.521593085750096
Mission: Impossible - Rogue Nation,UIP,271,0.137,0,"Macera, Aksiyon",2,0,0,none,Summer,2015,7,31,6,131.0,2,719045,13.48567922167099
Geniş Aile: Yapıştır,ChF,18,0.444,1,Komedi,1,0,0,none,Fall,2015,10,41,8,106.0,2,718521,13.484950211631512
Spectre,WB,123,0.089,0,"Macera, Aksiyon",2,0,0,none,Fall,2015,11,45,5,148.0,3,614444,13.328473072834733
6 Süper Kahraman,UIP,271,0.137,0,"Animasyon, 3 Boyutlu",2,0,0,none,Winter,2015,1,3,12,102.0,0,610651,13.322280880197171
Jurassic World,UIP,271,0.137,0,"Gerilim, Fantastik, Aksiyon, 3 Boyutlu",4,0,0,none,Summer,2015,6,24,5,124.0,3,602277,13.308472751352648
Çarşı Pazar,Pin.,19,0.632,1,Komedi,1,0,0,none,Winter,2015,2,9,9,97.0,2,582692,13.275414023845226
Marslı,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",4,0,0,none,Fall,2015,10,40,8,144.0,2,563020,13.241070430469552
Dab6e,CGV Mars,225,0.729,1,Korku,1,0,0,none,Fall,2015,9,37,9,160.0,4,536651,13.19310325531984
Mandıra Filozofu: İstanbul,CF,2,1.0,1,Komedi,1,0,0,none,Spring,2015,3,11,11,109.0,0,508899,13.140004847552396
Ters Yüz,UIP,271,0.137,0,"Animasyon, 3 Boyutlu",2,0,0,none,Summer,2015,6,25,5,95.0,0,489265,13.100659543960544
Otel Transilvanya 2,WB,123,0.089,0,"Animasyon, 3 Boyutlu",2,1,0,none,Fall,2015,10,43,8,89.0,0,483417,13.08863491419625
Ali Kundilli,TME,181,0.343,1,Komedi,1,0,0,none,Winter,2015,2,8,9,118.0,2,482917,13.087600075217969
Terminator: Genisys,UIP,271,0.137,0,"Bilim-Kurgu, Aksiyon",2,0,0,none,Summer,2015,6,26,5,126.0,3,481477,13.084613741685857
Nadide Hayat,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Winter,2015,12,51,4,118.0,1,784305,13.572553254292002
Delibal,WB,123,0.089,1,"Dram, Romantik",2,0,1,yilbasi,Winter,2015,12,52,4,117.0,2,1465092,14.197428597096366
Ant-Man,UIP,271,0.137,0,"Macera, Aksiyon, 3 Boyutlu",3,0,1,ramazan_bayrami,Summer,2015,7,29,6,117.0,2,427204,12.965016929880166
8 Saniye,WB,123,0.089,1,Dram,1,0,0,none,Winter,2015,2,9,9,120.0,3,421070,12.950554369626913
Son Cadı Avcısı,TME,181,0.343,0,"Fantastik, Aksiyon",2,0,0,none,Fall,2015,10,43,8,106.0,3,411018,12.926392288139809
Köstebekgiller: Perili Orman,WB,123,0.089,1,Aile,1,0,0,none,Winter,2015,1,4,12,85.0,0,409407,12.92246505025563
Mad Max: Fury Road,WB,123,0.089,0,"Macera, Bilim-Kurgu, Aksiyon",3,0,0,none,Spring,2015,5,20,8,120.0,0,409042,12.921573119239287
İçimdeki Ses,Pin.,19,0.632,1,Komedi,1,0,0,none,Winter,2015,1,5,12,93.0,2,403641,12.908281148030554
Sünger Bob Kare Pantolon 3D,UIP,271,0.137,0,"Animasyon, 3 Boyutlu",2,0,0,none,Winter,2015,2,6,9,92.0,1,364853,12.807249811717176
Fantastik Dörtlü,TME,181,0.343,0,"Macera, Fantastik, Aksiyon",3,0,0,none,Summer,2015,8,32,6,100.0,2,351708,12.770556564862456
San Andreas Fayı,WB,123,0.089,0,"Aksiyon, 3 Boyutlu",2,0,0,none,Spring,2015,5,22,8,114.0,3,337835,12.730312889593025
Küçük Prens,CGV Mars,225,0.729,0,Animasyon,1,0,1,kurban_bayrami,Fall,2015,9,39,9,108.0,0,331201,12.710480720812354
Uyumsuz Serisi: Kuralsız,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",4,1,0,none,Spring,2015,3,12,11,119.0,3,320843,12.6787071858922
Kod Adı: K.O.Z.,CGV Mars,225,0.729,1,Macera,1,0,0,none,Winter,2015,2,7,9,114.0,1,313361,12.655111159552389
Senden Bana Kalan,CGV Mars,225,0.729,1,"Dram, Romantik",2,0,0,none,Spring,2015,4,16,5,117.0,0,289778,12.576870391563332
Siccin 2,TME,181,0.343,1,"Korku, Gerilim",2,1,0,none,Summer,2015,7,28,6,94.0,4,289327,12.57531281533388
Çılgın Dersane: Ada,TME,181,0.343,1,Komedi,1,0,0,none,Winter,2015,1,3,12,106.0,0,278233,12.53621417113478
Sindirella,UIP,271,0.137,0,"Aile, Fantastik, Dram",3,0,0,none,Spring,2015,3,11,11,105.0,0,269272,12.503477300130076
Yok Artık!,Bir Film,65,0.277,1,Komedi,1,0,1,kurban_bayrami,Fall,2015,9,39,9,99.0,0,269165,12.503079853441204
Güvercin Uçuverdi,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Spring,2015,3,13,11,89.0,0,228622,12.339825263682524
Taşıyıcı: Son Hız,TME,181,0.343,0,Aksiyon,1,0,0,none,Fall,2015,9,36,9,96.0,2,227531,12.335041771826344
Hayat Öpücüğü,CGV Mars,225,0.729,1,Romantik-Komedi,1,0,0,none,Fall,2015,10,41,8,101.0,0,218521,12.294637398739344
Evim,TME,181,0.343,0,"Animasyon, 3 Boyutlu",2,0,0,none,Spring,2015,3,13,11,94.0,0,202333,12.217670133925711
Hitman: Ajan 47,TME,181,0.343,0,"Gerilim, Suç, Aksiyon",3,1,0,none,Summer,2015,8,34,6,96.0,3,198677,12.199435669449544
Jupiter Yükseliyor,WB,123,0.089,0,"Bilim-Kurgu, 3 Boyutlu",2,0,0,none,Winter,2015,2,6,9,127.0,2,197021,12.19106560102363
Kafes,ChF,18,0.444,1,Dram,1,0,0,none,Fall,2015,10,40,8,117.0,3,196444,12.188132682397509
Ajan,TME,181,0.343,0,Komedi,1,0,0,none,Summer,2015,6,24,5,119.0,3,181708,12.110156282033634
Sihirbazlık Okulunda Bir Türk,Pin.,19,0.632,1,Komedi,1,0,1,19_mayis,Spring,2015,5,21,8,91.0,2,181279,12.107792559918286
Casuslar Köprüsü,TME,181,0.343,0,"Gerilim, Dram",2,0,0,none,Fall,2015,11,48,5,142.0,1,189719,12.153299309052052
Bir Varmış Bir Yokmuş,CGV Mars,225,0.729,1,"Dram, Romantik",2,0,0,none,Spring,2015,3,10,11,105.0,0,177518,12.086827291206822
Kingsman: Gizli Servis,TME,181,0.343,0,"Macera, Aksiyon",2,0,0,none,Spring,2015,3,11,11,129.0,0,174459,12.069445035997836
Deccal,CGV Mars,225,0.729,1,Korku,1,0,0,none,Summer,2015,7,30,6,94.0,0,170190,12.044670738988724
Üç Harfliler 2: Hablis,TME,181,0.343,1,"Korku, Gerilim",2,1,0,none,Summer,2015,8,33,6,100.0,3,168520,12.034809716092951
Everest,UIP,271,0.137,0,"Gerilim, Aksiyon, 3 Boyutlu",3,0,0,none,Fall,2015,9,38,9,121.0,0,167420,12.028260904214047
Yarının Dünyası,UIP,271,0.137,0,"Macera, Bilim-Kurgu",2,0,1,19_mayis,Spring,2015,5,21,8,130.0,0,162651,11.999362080053515
Snoopy ve Charlie Brown Peanuts Filmi,TME,181,0.343,0,"Animasyon, 3 Boyutlu",2,0,0,none,Fall,2015,11,46,5,88.0,0,165431,12.0163094684356
Ertuğrul 1890,CGV Mars,225,0.729,1,"Dram, Tarihi, Aksiyon",3,1,1,yilbasi,Winter,2015,12,52,4,132.0,0,451794,13.020981602715374
Yaktın Beni,UIP,271,0.137,1,Komedi,1,0,0,none,Fall,2015,10,42,8,106.0,2,158062,11.970742640101664
