Film_Linki,Film_Adi,Vizyon_Tarihi,Toplam_Seyirci,Liste_Yili,Yonetmen,Oyuncular,Sure_Dakika,IMDb_Puani,Sektor_Toplam_Seyirci,Ort_Bilet_TL,Log_Toplam_Seyirci,Is_Pandemi,Is_Yerli,IMDb_Yok,Is_Devam_Filmi,Rekabet_Indeksi,Mevsim_Ilkbahar,Mevsim_Kis,Mevsim_Sonbahar,Mevsim_Yaz,Yonetmen_Skor,Yonetmen_Film_Sayisi,Oyuncu1_Skor,Oyuncu2_Skor,Oyuncu3_Skor,Kadro_Veri_Var,Dagitimci_Skor,Tur_3_Boyutlu,Tur_Aile,Tur_Aksiyon,Tur_Animasyon,Tur_Belgesel,Tur_Bilim_Kurgu,Tur_Biyografi,Tur_Dram,Tur_Fantastik,Tur_Genclik,Tur_Gerilim,Tur_Gizem,Tur_IMAX,Tur_Komedi,Tur_Korku,Tur_Macera,Tur_Muzik,Tur_Muzikal,Tur_Romantik,Tur_Romantik_Komedi,Tur_Savas,Tur_Spor,Tur_Suc,Tur_Tarihi
denizin-ortasinda--2012078,Denizin Ortasında,2016-01-01,45778,2016,Ron Howard,"Tom Holland, Chris Hemsworth, Cillian Murphy, Ben Whishaw, Brendan Gleeson",122.0,6.9,58287772,11.87,10.731580749668158,0,0,0,0,3.0,0,1,0,0,10.819798284210286,0,10.819798284210286,10.819798284210286,10.819798284210286,1,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kocan-kadar-konus-dirilis--2012887,Kocan Kadar Konuş: Diriliş,2016-01-01,1332907,2016,Kıvanç Baruönü,"Muhammet Uzuner, Eda Ece, Begüm Öner, Bora Akkaş, Gülenay Kalkan",109.0,5.7,58287772,11.87,14.102873579524731,0,1,0,0,3.0,0,1,0,0,10.731580749668158,0,10.731580749668158,10.731580749668158,10.731580749668158,1,10.731580749668158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alvin-ve-sincaplar-yol-macerasi--2011916,Alvin ve Sincaplar: Yol Macerası,2016-01-01,389959,2016,Walt Becker,"Joshua Mikel, Uzo Aduba, Jennifer Coolidge, Jason Lee",92.0,5.0,58287772,11.87,12.873799448743208,0,0,0,0,3.0,0,1,0,0,12.417227164596444,0,12.417227164596444,12.417227164596444,12.417227164596444,1,12.417227164596444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baskin-karabasan--2012875,Baskın: Karabasan,2016-01-01,67100,2016,Can Evrenol,"Berat Efe Parlar, Mehmet Fatih Dokgöz, Mehmet Akif Budak, Muharrem Bayrak, Görkem Kasal",97.0,5.8,58287772,11.87,11.11395422597838,0,1,0,0,3.0,0,1,0,0,12.569417925978698,0,12.569417925978698,12.569417925978698,12.569417925978698,1,12.569417925978698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
creed-efsanenin-dogusu--2012854,Creed: Efsanenin Doğuşu,2016-01-08,36029,2016,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, Ritchie Coster",133.0,7.6,58287772,11.87,10.492107203742139,0,0,0,0,3.0,0,1,0,0,12.205552000978619,0,12.205552000978619,12.205552000978619,12.205552000978619,1,10.731580749668158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
the-hateful-eight--2012879,The Hateful Eight,2016-01-08,139344,2016,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir",167.0,7.8,58287772,11.87,11.844708151390867,0,0,0,0,3.0,0,1,0,0,11.862863041531323,0,11.862863041531323,11.862863041531323,11.862863041531323,1,11.862863041531323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
buyuk-acik--2012968,Büyük Açık,2016-01-08,54256,2016,Adam McKay,"Jeremy Strong, Tracy Letts, Selena Gomez, Melissa Leo, John Magaro",130.0,7.8,58287772,11.87,10.901487295336825,0,0,0,0,3.0,0,1,0,0,11.859837226507913,0,11.859837226507913,11.859837226507913,11.859837226507913,1,14.102873579524731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joy--2012650,Joy,2016-01-08,42633,2016,David O. Russell,"Dascha Polanco, Elisabeth Röhm, Isabella Rossellini, Diane Ladd, Edgar Ramirez",124.0,6.6,58287772,11.87,10.66040733599314,0,0,0,0,3.0,0,1,0,0,11.722930093483471,0,11.722930093483471,11.722930093483471,11.722930093483471,1,12.873799448743208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kardesim-benim--2012843,Kardeşim Benim,2016-01-15,2070949,2016,Mert Baykal,"Burak Özçivit, Murat Boz, Aslı Enver, Ferdi Sancar, Burak Satıbol",118.0,7.1,58287772,11.87,14.543517997160153,0,1,0,0,3.0,0,1,0,0,11.59011474879718,0,11.59011474879718,11.59011474879718,11.59011474879718,1,11.59011474879718,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bizans-oyunlari-geym-of-bizans--2012799,Bizans Oyunları - Geym of Bizans,2016-01-15,620380,2016,Gani Müjde,"Ünal Yeter, Gürkan Uygun, Gonca Vuslateri, Murat Dalkılıç, Tolgahan Sayışman",109.0,3.8,58287772,11.87,13.338089084412587,0,1,0,0,3.0,0,1,0,0,11.918270665281955,0,11.918270665281955,11.918270665281955,11.918270665281955,1,14.543517997160153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
