movie_name,genre,genre_count,is_sequel,is_adaptation,is_franchise,rating,runtime_minutes,director_has_hit,star_power,budget_tier,is_domestic,distributor,release_year,release_month,release_week,release_season,holiday_type,holiday_week,competition_index,is_covid_period,total_audience,log_total_audience
Düğün Dernek 2: Sünnet,Komedi,1,1,0,1,2,112.0,1,3,1,1,CGV Mars,2015,12,49,Winter,none,0,4,0,6073364,15.619423210511496
Hızlı ve Öfkeli 7,Aksiyon,1,1,0,1,2,137.0,1,3,4,0,UIP,2015,4,14,Spring,none,0,5,0,2961089,14.90106766404505
Kocan Kadar Konuş,Romantik-Komedi,1,0,1,0,2,108.0,1,2,1,1,UIP,2015,3,12,Spring,none,0,11,0,1930677,14.473381276575202
Ali Baba ve 7 Cüceler,Komedi,1,0,0,0,3,114.0,1,3,1,1,CGV Mars,2015,11,46,Fall,none,0,5,0,1828311,14.418903147816572
Selam: Bahara Yolculuk,Dram,1,0,0,0,3,120.0,0,1,1,1,CGV Mars,2015,3,11,Spring,none,0,11,0,1683497,14.336383735579895
Bana Masal Anlatma,"Komedi, Romantik-Komedi",2,0,0,0,1,103.0,1,2,1,1,UIP,2015,1,2,Winter,none,0,12,0,1576979,14.271021549432922
Aşk Sana Benzer,"Dram, Romantik",2,0,0,0,0,115.0,0,3,1,1,CGV Mars,2015,1,4,Winter,none,0,12,0,1406620,14.15670022143832
Yenilmezler: Ultron Çağı,"Macera, Aksiyon, 3 Boyutlu",3,0,1,1,2,141.0,1,3,4,0,UIP,2015,5,18,Spring,1_mayis,1,8,0,1284848,14.066150981377143
Yapışık Kardeşler,Komedi,1,0,0,0,2,105.0,0,2,1,1,CGV Mars,2015,1,5,Winter,none,0,12,0,1014630,13.830034571980372
Niyazi Gül Dörtnala,Komedi,1,0,0,1,1,106.0,1,3,1,1,UIP,2015,5,19,Spring,none,0,8,0,994016,13.80950858208864
Minyonlar,"Animasyon, 3 Boyutlu",2,0,0,1,1,91.0,1,3,3,0,UIP,2015,9,36,Fall,none,0,9,0,964454,13.779317417085332
Sevimli Tehlikeli,"Romantik-Komedi, Romantik",2,0,0,0,2,113.0,1,3,1,1,WB,2015,2,6,Winter,none,0,9,0,911833,13.72321213825396
Kara Bela,Komedi,1,0,0,0,2,105.0,1,2,1,1,CGV Mars,2015,9,38,Fall,none,0,9,0,892643,13.70194200389106
Grinin Elli Tonu,Romantik,1,0,1,1,4,125.0,0,1,2,0,UIP,2015,2,7,Winter,none,0,9,0,875585,13.68264751337401
Star Wars: Güç Uyanıyor,"Bilim-Kurgu, Fantastik, 3 Boyutlu",3,0,0,1,2,136.0,1,3,4,0,UIP,2015,12,51,Winter,none,0,4,0,1149329,13.95468885178888
Son Mektup,"Tarihi, Savaş",2,0,0,0,0,122.0,1,2,1,1,Pin.,2015,3,12,Spring,none,0,11,0,810138,13.60495988250761
Labirent: Alev Deneyleri,"Bilim-Kurgu, Aksiyon, 3 Boyutlu",3,0,1,1,3,131.0,1,2,3,0,TME,2015,9,38,Fall,none,0,9,0,752273,13.53085456896673
Açlık Oyunları: Alaycı Kuş Bölüm 2,"Macera, Aksiyon",2,1,1,1,2,137.0,1,3,4,0,TME,2015,11,47,Fall,none,0,5,0,745338,13.521593085750096
Mission: Impossible - Rogue Nation,"Macera, Aksiyon",2,0,0,1,2,131.0,1,3,4,0,UIP,2015,7,31,Summer,none,0,6,0,719045,13.48567922167099
Geniş Aile: Yapıştır,Komedi,1,0,1,1,2,106.0,1,2,1,1,ChF,2015,10,41,Fall,none,0,8,0,718521,13.484950211631512
