movie_name,distributor,release_date,release_year,total_audience,log_total_audience,detail_url
Düğün Dernek 2: Sünnet,CGV Mars,4 Aralık 2015,2015,6073364,15.619423210511496,https://boxofficeturkiye.com/film/dugun-dernek-2-sunnet--2012841
Hızlı ve Öfkeli 7,UIP,3 Nisan 2015,2015,2961089,14.90106766404505,https://boxofficeturkiye.com/film/hizli-ve-ofkeli-7--2011787
Kocan Kadar Konuş,UIP,20 Mart 2015,2015,1930677,14.473381276575202,https://boxofficeturkiye.com/film/kocan-kadar-konus--2012138
Ali Baba ve 7 Cüceler,CGV Mars,13 Kasım 2015,2015,1828311,14.418903147816573,https://boxofficeturkiye.com/film/ali-baba-ve-7-cuceler--2012800
Selam: Bahara Yolculuk,CGV Mars,13 Mart 2015,2015,1683497,14.336383735579897,https://boxofficeturkiye.com/film/selam-bahara-yolculuk--2012531
Bana Masal Anlatma,UIP,9 Ocak 2015,2015,1576979,14.271021549432922,https://boxofficeturkiye.com/film/bana-masal-anlatma--2012489
Aşk Sana Benzer,CGV Mars,23 Ocak 2015,2015,1406620,14.15670022143832,https://boxofficeturkiye.com/film/ask-sana-benzer--2012353
Yenilmezler: Ultron Çağı,UIP,1 Mayıs 2015,2015,1284848,14.066150981377143,https://boxofficeturkiye.com/film/yenilmezler-ultron-cagi--2011599
Yapışık Kardeşler,CGV Mars,30 Ocak 2015,2015,1014630,13.830034571980372,https://boxofficeturkiye.com/film/yapisik-kardesler--2012462
Niyazi Gül Dörtnala,UIP,8 Mayıs 2015,2015,994016,13.80950858208864,https://boxofficeturkiye.com/film/niyazi-gul-dortnala--2012491
Minyonlar,UIP,4 Eylül 2015,2015,964454,13.779317417085332,https://boxofficeturkiye.com/film/minyonlar--2011529
Sevimli Tehlikeli,WB,6 Şubat 2015,2015,911833,13.72321213825396,https://boxofficeturkiye.com/film/sevimli-tehlikeli--2012311
Kara Bela,CGV Mars,18 Eylül 2015,2015,892643,13.701942003891059,https://boxofficeturkiye.com/film/kara-bela--2012137
Grinin Elli Tonu,UIP,13 Şubat 2015,2015,875585,13.68264751337401,https://boxofficeturkiye.com/film/grinin-elli-tonu--2011884
Star Wars: Güç Uyanıyor,UIP,17 Aralık 2015,2015,1149329,13.954688851788879,https://boxofficeturkiye.com/film/star-wars-guc-uyaniyor--2012028
Son Mektup,Pin.,18 Mart 2015,2015,810138,13.60495988250761,https://boxofficeturkiye.com/film/son-mektup--2010900
Labirent: Alev Deneyleri,TME,18 Eylül 2015,2015,752273,13.53085456896673,https://boxofficeturkiye.com/film/labirent-alev-deneyleri--2012474
Açlık Oyunları: Alaycı Kuş Bölüm 2,TME,20 Kasım 2015,2015,745338,13.521593085750096,https://boxofficeturkiye.com/film/aclik-oyunlari-alayci-kus-bolum-2--2012414
Mission: Impossible - Rogue Nation,UIP,31 Temmuz 2015,2015,719045,13.48567922167099,https://boxofficeturkiye.com/film/mission-impossible-rogue-nation--2012027
Geniş Aile: Yapıştır,ChF,9 Ekim 2015,2015,718521,13.484950211631512,https://boxofficeturkiye.com/film/genis-aile-yapistir--2012884
Spectre,WB,6 Kasım 2015,2015,614444,13.328473072834731,https://boxofficeturkiye.com/film/spectre--2011901
6 Süper Kahraman,UIP,16 Ocak 2015,2015,610651,13.322280880197173,https://boxofficeturkiye.com/film/6-super-kahraman--2011600
Jurassic World,UIP,12 Haziran 2015,2015,602277,13.308472751352648,https://boxofficeturkiye.com/film/jurassic-world--2011705
Çarşı Pazar,Pin.,27 Şubat 2015,2015,582692,13.275414023845226,https://boxofficeturkiye.com/film/carsi-pazar--2012171
Marslı,TME,2 Ekim 2015,2015,563020,13.241070430469552,https://boxofficeturkiye.com/film/marsli--2012226
Dab6e,CGV Mars,11 Eylül 2015,2015,536651,13.19310325531984,https://boxofficeturkiye.com/film/dab6e--2012576
Mandıra Filozofu: İstanbul,CF,13 Mart 2015,2015,508899,13.140004847552396,https://boxofficeturkiye.com/film/mandira-filozofu-istanbul--2012455
Ters Yüz,UIP,19 Haziran 2015,2015,489265,13.100659543960543,https://boxofficeturkiye.com/film/ters-yuz--2011725
Otel Transilvanya 2,WB,23 Ekim 2015,2015,483417,13.08863491419625,https://boxofficeturkiye.com/film/otel-transilvanya-2--2011768
Ali Kundilli,TME,20 Şubat 2015,2015,482917,13.087600075217967,https://boxofficeturkiye.com/film/ali-kundilli--2012458
Terminator: Genisys,UIP,26 Haziran 2015,2015,481477,13.084613741685857,https://boxofficeturkiye.com/film/terminator-genisys--2011859
Nadide Hayat,CGV Mars,18 Aralık 2015,2015,784305,13.572553254292002,https://boxofficeturkiye.com/film/nadide-hayat--2012842
Delibal,WB,25 Aralık 2015,2015,1465092,14.197428597096366,https://boxofficeturkiye.com/film/delibal--2012793
Ant-Man,UIP,17 Temmuz 2015,2015,427204,12.965016929880166,https://boxofficeturkiye.com/film/ant-man--2011597
8 Saniye,WB,27 Şubat 2015,2015,421070,12.950554369626913,https://boxofficeturkiye.com/film/8-saniye--2012423
Son Cadı Avcısı,TME,23 Ekim 2015,2015,411018,12.926392288139809,https://boxofficeturkiye.com/film/son-cadi-avcisi--2012536
Köstebekgiller: Perili Orman,WB,23 Ocak 2015,2015,409407,12.92246505025563,https://boxofficeturkiye.com/film/kostebekgiller-perili-orman--2012360
Mad Max: Fury Road,WB,15 Mayıs 2015,2015,409042,12.921573119239287,https://boxofficeturkiye.com/film/mad-max-fury-road--2012077
İçimdeki Ses,Pin.,30 Ocak 2015,2015,403641,12.908281148030554,https://boxofficeturkiye.com/film/icimdeki-ses--2012167
Sünger Bob Kare Pantolon 3D,UIP,6 Şubat 2015,2015,364853,12.807249811717176,https://boxofficeturkiye.com/film/sunger-bob-kare-pantolon-3d--2011941
Fantastik Dörtlü,TME,7 Ağustos 2015,2015,351708,12.770556564862456,https://boxofficeturkiye.com/film/fantastik-dortlu--2011825
San Andreas Fayı,WB,29 Mayıs 2015,2015,337835,12.730312889593025,https://boxofficeturkiye.com/film/san-andreas-fayi--2012076
Küçük Prens,CGV Mars,23 Eylül 2015,2015,331201,12.710480720812354,https://boxofficeturkiye.com/film/kucuk-prens--2012530
Uyumsuz Serisi: Kuralsız,TME,20 Mart 2015,2015,320843,12.6787071858922,https://boxofficeturkiye.com/film/uyumsuz-serisi-kuralsiz--2012417
Kod Adı: K.O.Z.,CGV Mars,13 Şubat 2015,2015,313361,12.655111159552389,https://boxofficeturkiye.com/film/kod-adi-k-o-z--2012513
Senden Bana Kalan,CGV Mars,17 Nisan 2015,2015,289778,12.576870391563332,https://boxofficeturkiye.com/film/senden-bana-kalan--2012611
Siccin 2,TME,10 Temmuz 2015,2015,289327,12.575312815333879,https://boxofficeturkiye.com/film/siccin-2--2012605
Çılgın Dersane: Ada,TME,16 Ocak 2015,2015,278233,12.536214171134779,https://boxofficeturkiye.com/film/cilgin-dersane-ada--2012459
Sindirella,UIP,13 Mart 2015,2015,269272,12.503477300130077,https://boxofficeturkiye.com/film/sindirella--2011981
Yok Artık!,Bir Film,25 Eylül 2015,2015,269165,12.503079853441204,https://boxofficeturkiye.com/film/yok-artik--2012822
Güvercin Uçuverdi,CGV Mars,27 Mart 2015,2015,228622,12.339825263682524,https://boxofficeturkiye.com/film/guvercin-ucuverdi--2012351
Taşıyıcı: Son Hız,TME,4 Eylül 2015,2015,227531,12.335041771826345,https://boxofficeturkiye.com/film/tasiyici-son-hiz--2012369
Hayat Öpücüğü,CGV Mars,9 Ekim 2015,2015,218521,12.294637398739344,https://boxofficeturkiye.com/film/hayat-opucugu--2012906
Evim,TME,27 Mart 2015,2015,202333,12.217670133925711,https://boxofficeturkiye.com/film/evim--2011853
Hitman: Ajan 47,TME,21 Ağustos 2015,2015,198677,12.199435669449544,https://boxofficeturkiye.com/film/hitman-ajan-47--2012343
Jupiter Yükseliyor,WB,6 Şubat 2015,2015,197021,12.19106560102363,https://boxofficeturkiye.com/film/jupiter-yukseliyor--2011795
Kafes,ChF,2 Ekim 2015,2015,196444,12.188132682397509,https://boxofficeturkiye.com/film/kafes--2012857
Ajan,TME,12 Haziran 2015,2015,181708,12.110156282033634,https://boxofficeturkiye.com/film/ajan--2012089
Sihirbazlık Okulunda Bir Türk,Pin.,22 Mayıs 2015,2015,181279,12.107792559918286,https://boxofficeturkiye.com/film/sihirbazlik-okulunda-bir-turk--2012724
Casuslar Köprüsü,TME,27 Kasım 2015,2015,189719,12.153299309052052,https://boxofficeturkiye.com/film/casuslar-koprusu--2012676
Bir Varmış Bir Yokmuş,CGV Mars,6 Mart 2015,2015,177518,12.086827291206822,https://boxofficeturkiye.com/film/bir-varmis-bir-yokmus--2012471
Kingsman: Gizli Servis,TME,13 Mart 2015,2015,174459,12.069445035997836,https://boxofficeturkiye.com/film/kingsman-gizli-servis--2011829
Deccal,CGV Mars,24 Temmuz 2015,2015,170190,12.044670738988723,https://boxofficeturkiye.com/film/deccal--2012775
Üç Harfliler 2: Hablis,TME,14 Ağustos 2015,2015,168520,12.034809716092953,https://boxofficeturkiye.com/film/uc-harfliler-2-hablis--2012606
Everest,UIP,18 Eylül 2015,2015,167420,12.028260904214047,https://boxofficeturkiye.com/film/everest--2012147
Yarının Dünyası,UIP,22 Mayıs 2015,2015,162651,11.999362080053517,https://boxofficeturkiye.com/film/yarinin-dunyasi--2011709
Snoopy ve Charlie Brown Peanuts Filmi,TME,13 Kasım 2015,2015,165431,12.0163094684356,https://boxofficeturkiye.com/film/snoopy-ve-charlie-brown-peanuts-filmi--2011917
Ertuğrul 1890,CGV Mars,25 Aralık 2015,2015,451794,13.020981602715374,https://boxofficeturkiye.com/film/ertugrul-1890--2012653
Yaktın Beni,UIP,16 Ekim 2015,2015,158062,11.970742640101664,https://boxofficeturkiye.com/film/yaktin-beni--2012811
7 Cüceler,CGV Mars,30 Ocak 2015,2015,157943,11.969989487426073,https://boxofficeturkiye.com/film/7-cuceler--2012497
Git Başımdan,WB,29 Ekim 2015,2015,155413,11.953841368500449,https://boxofficeturkiye.com/film/git-basimdan--2012840
Tinker Bell ve Canavar Efsanesi,UIP,15 Mayıs 2015,2015,154774,11.949721267374798,https://boxofficeturkiye.com/film/tinker-bell-ve-canavar-efsanesi--2012283
Enigma,Pin.,20 Şubat 2015,2015,152428,11.93444763239306,https://boxofficeturkiye.com/film/enigma--2012465
